movieInfo,quote,star,title
导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...;2004 / 美国加拿大 / 剧情悬疑科幻惊悚;;,人的命运被自己瞬间的抉择改变。,8,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应
导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...;2010 / 中国大陆香港 / 剧情喜剧动作西部;;,你给我翻译翻译，神马叫做TMD的惊喜。,8,让子弹飞 / 让子弹飞一会儿  /  火烧云
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...;1997 / 香港日本韩国 / 剧情爱情同性;;,爱情纠缠，男女一致。,8,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together
导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...;2009 / 澳大利亚 / 剧情动画;;,你是我最好的朋友，你是我唯一的朋友 。,8,玛丽和马克思 / Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客
导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...;1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆) / 中国大陆 / 动画奇幻;;,经典之作，历久弥新。,9,大闹天宫 / 大闹天宫 上下集  /  The Monkey King
导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...;1997 / 美国 / 剧情;;,人生中应该拥有这样的一段豁然开朗。,8,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手
导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...;1987 / 意大利中国大陆英国法国 / 剧情传记历史;;,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,8,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港)
导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao;1994 / 中国大陆香港 / 剧情;;,一场华丽的意淫。,8,阳光灿烂的日子 / In the Heat of the Sun
导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...;1997 / 日本 / 动作爱情战争动画奇幻冒险;;,人与自然的战争史诗。,8,幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女
导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...;1999 / 美国 / 剧情悬疑惊悚;;,深入内心的恐怖，出人意料的结局。,8,第六感 / The Sixth Sense / 灵异第六感  /  鬼眼
导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...;1994 / 香港 / 剧情爱情;;,寂寞没有期限。,8,重庆森林 / 重慶森林 / Chungking Express
导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...;2010 / 美国 / 剧情悬疑惊悚;;,昔日翩翩少年，今日大腹便便。,8,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台)
导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...;2014 / 美国德国英国 / 剧情喜剧冒险;;,小清新的故事里注入了大历史的情怀。,8,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台)
导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...;2003 / 美国 / 剧情家庭奇幻冒险;;,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8,大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台)
导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint;2001 / 美国英国 / 奇幻冒险;;,童话世界的开端。,8,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) 
导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...;2012 / 丹麦瑞典 / 剧情;;,人言可畏。,9,狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港)
导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...;1993 / 香港 / 喜剧古装;;,百看不厌。 ,8,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本)
导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet;2003 / 美国 / 剧情悬疑惊悚;;,最不可能的那个人永远是最可能的。,8,致命ID / Identity / 杀人游戏  /  致命身份
导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...;1996 / 香港 / 剧情爱情;;,相逢只要一瞬间，等待却像是一辈子。,8,甜蜜蜜 / Comrades: Almost a Love Story
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...;2002 / 美国加拿大 / 传记犯罪剧情;;,骗子大师和执著警探的你追我跑故事。 ,8,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台)
导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...;2005 / 美国加拿大 / 剧情爱情同性家庭;;,每个人心中都有一座断背山。,8,断背山 / Brokeback Mountain / 断臂山
导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...;2000 / 台湾日本 / 剧情爱情家庭;;,我们都曾经是一一。,8,一一 / Yi yi  /  Yi yi: A One and a Two
导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...;2010 / 日本 / 剧情惊悚;;,没有一人完全善，也没有一人完全恶。,8,告白 / 自白  /  母亲
导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...;2011 / 韩国 / 剧情喜剧;;,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼
导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...;2003 / 美国 / 动作冒险奇幻;;,约翰尼·德普的独角戏。,8,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台)
